,primary_mode,trip_distance_meters,origin_bgrp_fips_2020,origin_bgrp_lat_2020,origin_bgrp_lng_2020,destination_bgrp_fips_2020,destination_bgrp_lat_2020,destination_bgrp_lng_2020,emission_factor,co2_emissions_grams
817,private_auto,2869.861114623569,360470129014,40.6826,-73.9779,360470317011,40.6748,-73.95,175.0,502.2256950591246
932,private_auto,1958.44990812606,360470414022,40.6022,-73.9686,360470582002,40.5973,-73.96,175.0,342.7287339220605
1399,private_auto,11542.946199211274,360810590001,40.7013,-73.737,360810716001,40.6469,-73.7869,175.0,2020.015584861973
1410,private_auto,3616.6976733144447,360811467002,40.7609,-73.7733,360811479001,40.7725,-73.738,175.0,632.9220928300279
1819,private_auto,1931.4813721535515,360810997051,40.7875,-73.786,360810997044,40.7799,-73.7776,175.0,338.00924012687153
1839,private_auto,6038.6680380027565,360810997051,40.7875,-73.786,360811429003,40.7497,-73.7813,175.0,1056.7669066504825
2469,private_auto,3333.4140202248373,360810809005,40.7326,-73.821,360810837005,40.7449,-73.8168,175.0,583.3474535393465
3247,private_auto,1145.6617713413111,360050152002,40.8261,-73.8232,360050164001,40.8322,-73.8248,175.0,200.49080998472945
5336,private_auto,10130.797364586508,360810945002,40.7849,-73.8305,360810163001,40.7588,-73.908,175.0,1772.889538802639
5940,private_auto,2007.8504226945165,360810022002,40.6952,-73.851,360471182012,40.6875,-73.8725,175.0,351.3738239715404
6928,private_auto,1678.3787790696892,360470788012,40.6375,-73.9513,360470854001,40.6455,-73.944,175.0,293.71628633719564
8271,private_auto,11517.331653656389,360810637004,40.7078,-73.8607,360470545003,40.7063,-73.966,175.0,2015.533039389868
8503,private_auto,1245.9357263260986,360470490001,40.6392,-73.972,360470226001,40.6414,-73.9854,175.0,218.03875210706727
9141,private_auto,1411.4857864289102,360470224003,40.6405,-73.9921,360470496003,40.6426,-73.983,175.0,247.01001262505926
10488,private_auto,3885.7923753913537,360470478001,40.6328,-73.9773,360470184001,40.613,-74.006,175.0,680.0136656934869
10950,private_auto,12599.94857666564,360850208043,40.5312,-74.1978,360850112013,40.5815,-74.086,175.0,2204.991000916487
11177,private_auto,1786.2610736280394,360850064003,40.5958,-74.0809,360850070011,40.5877,-74.0885,175.0,312.5956878849069
11309,private_auto,1990.0899900568447,360850146044,40.5467,-74.1629,360850146071,40.5565,-74.166,175.0,348.2657482599478
11915,private_auto,4838.234301308326,360811529021,40.7547,-73.7254,360811377001,40.7484,-73.7537,175.0,846.6910027289572
12675,private_auto,7484.528252001522,360810818002,40.6681,-73.8094,360810664022,40.656,-73.7368,175.0,1309.7924441002663
12834,private_auto,2407.793311176546,360811479003,40.7702,-73.7407,360811529012,40.7525,-73.7383,175.0,421.3638294558956
12962,private_auto,4205.308979219987,360811507012,40.7617,-73.7402,360811385011,40.7567,-73.7563,175.0,735.9290713634978
14160,private_auto,2237.959147256558,360811467001,40.7618,-73.7704,360811385014,40.7534,-73.7499,175.0,391.6428507698977
14228,private_auto,36105.12107269029,360470254003,40.618,-73.9861,360811377002,40.7461,-73.7502,175.0,6318.3961877208
14245,private_auto,28709.026795646583,360811483002,40.7697,-73.7502,360610157003,40.7765,-73.9776,175.0,5024.079689238152
14249,private_auto,1033.8044946517225,360811483002,40.7697,-73.7502,360811483003,40.7771,-73.7508,175.0,180.91578656405142
14259,private_auto,3175.683790152372,360811099003,40.7681,-73.7892,360811467001,40.7618,-73.7704,175.0,555.744663276665
14320,private_auto,4621.274843970008,360810352001,40.681,-73.7552,360810190001,40.6854,-73.7944,175.0,808.7230976947515
14616,private_auto,2262.3473745207166,360810690002,40.6591,-73.7535,360810716001,40.6469,-73.7869,175.0,395.91079054112544
14644,private_auto,22906.182861763755,360810019011,40.7447,-73.9451,360811507023,40.7659,-73.7267,175.0,4008.5820008086566
15101,private_auto,1404.304477757929,360810998012,40.6,-73.7571,360810998013,40.5985,-73.7547,175.0,245.75328360763757
15926,private_auto,23528.54295753639,360610041005,40.7189,-73.9983,360811367003,40.7452,-73.7633,175.0,4117.495017568868
15928,private_auto,1840.799772330818,360811367003,40.7452,-73.7633,360811385011,40.7567,-73.7563,175.0,322.13996015789314
17136,private_auto,1944.626068603564,360811333004,40.7318,-73.7759,360811291031,40.7391,-73.7599,175.0,340.30956200562366
18190,private_auto,1246.2386727728226,360811409021,40.7443,-73.7843,360811417005,40.7402,-73.794,175.0,218.09176773524393
18650,private_auto,12091.282632358912,360810440001,40.7025,-73.7879,360810871002,40.7597,-73.8328,175.0,2115.9744606628096
18913,private_auto,13040.922420076064,360810525001,40.7189,-73.9047,360811417002,40.7484,-73.7897,175.0,2282.161423513311
18983,private_auto,2253.3848775723677,360811029002,40.7815,-73.8057,360811085002,40.7702,-73.7902,175.0,394.34235357516434
19210,private_auto,9785.692019141865,360811341002,40.7328,-73.7916,360811551011,40.7566,-73.7142,175.0,1712.4961033498262
19394,private_auto,2305.3489706456057,360610183006,40.795,-73.9706,360610158022,40.7865,-73.9515,175.0,403.43606986298096
19411,private_auto,1004.9332278999256,360810964001,40.5985,-73.7921,360810942035,40.5876,-73.803,175.0,175.86331488248695
19970,private_auto,3387.6129464046053,360811141001,40.771,-73.7969,360810869002,40.7667,-73.835,175.0,592.8322656208059
20205,private_auto,1132.555903759252,360810454001,40.7108,-73.7956,360810446021,40.708,-73.7983,175.0,198.19728315786912
20217,private_auto,2138.5879766919115,360811017001,40.7782,-73.7956,360810991002,40.7927,-73.7983,175.0,374.25289592108453
20339,private_auto,703.735770622944,360810236001,40.7084,-73.8056,360810446011,40.7045,-73.7994,175.0,123.1537598590152
20566,private_auto,457.75123899757705,360811265002,40.7198,-73.8064,360811265001,40.721,-73.8018,175.0,80.10646682457597
20749,private_auto,2831.8440152998573,360811147002,40.7673,-73.8021,360810987002,40.7896,-73.8098,175.0,495.57270267747504
21192,private_auto,10705.136683617242,360810240003,40.7027,-73.8059,360811385011,40.7567,-73.7563,175.0,1873.3989196330174
21245,private_auto,3316.2631740068587,360810246001,40.7012,-73.7965,360810178002,40.6778,-73.8062,175.0,580.3460554512003
21550,private_auto,376.08409784229815,360811157003,40.7644,-73.8151,360811171001,40.764,-73.8079,175.0,65.81471712240217
21654,private_auto,6552.999616943868,360811227041,40.7292,-73.8091,360810697011,40.7283,-73.8596,175.0,1146.774932965177
21783,private_auto,8395.518617028734,360810329001,40.7644,-73.8827,360811227032,40.7343,-73.8095,175.0,1469.2157579800287
21802,private_auto,10130.770537077857,360810809007,40.7366,-73.8201,360810219001,40.7235,-73.9183,175.0,1772.8848439886249
22222,private_auto,5408.574,360050118003,40.8168,-73.8115,360050286001,40.8498,-73.8475,175.0,946.50045
22404,private_auto,5355.60992733034,360810645002,40.7091,-73.8543,360810779041,40.7227,-73.8126,175.0,937.2317372828095
22616,private_auto,2619.4402736575357,360810775002,40.7089,-73.8337,360810779051,40.717,-73.8135,175.0,458.40204789006873
22752,private_auto,2618.5210240475003,360811203002,40.748,-73.8141,360810871001,40.7566,-73.8363,175.0,458.24117920831253
23834,private_auto,6628.618201994137,360811205002,40.7525,-73.8184,360810679002,40.7254,-73.8711,175.0,1160.008185348974
24016,private_auto,6749.858790574418,360810166002,40.6784,-73.8193,360810779072,40.7236,-73.8178,175.0,1181.2252883505232
25520,private_auto,3020.42820545865,360050288004,40.8563,-73.8523,360050302013,40.8636,-73.8245,175.0,528.5749359552638
25891,private_auto,10697.02962288252,360810595012,40.7121,-73.909,360810797011,40.7546,-73.8256,175.0,1871.9801840044408
