,hex_id,geometry,count
0,882a106e0dfffff,"POLYGON ((-74.24005982502955 40.501626038121294, -74.23812821403146 40.50607661731171, -74.23178617883345 40.50714145162203, -74.22737676591797 40.503755482519104, -74.22803309941668 40.50224405987194, -74.22807670514592 40.50224422289633, -74.22820429822282 40.50225127091173, -74.22822138349659 40.50224965259285, -74.22823668093693 40.502248025765034, -74.22825206733624 40.50224699935711, -74.22826750275338 40.50224657395109, -74.2282829459344 40.50224675130433, -74.22829835803543 40.5022475319967, -74.22831369515406 40.502248913435054, -74.22832892150012 40.502250890664705, -74.22834434243421 40.50225342203297, -74.2283599010297 40.50225539038838, -74.22837556698468 40.502256791435336, -74.22839130144764 40.50225762374338, -74.22840707060399 40.5022578826889, -74.22842283627436 40.50225757086084, -74.2284385657472 40.50225668530877, -74.22849384570482 40.50224519955656, -74.22854942780766 40.50223459924773, -74.22860528683556 40.502224889290495, -74.22873640620921 40.5022107946337, -74.22877770924981 40.50220877228836, -74.22881893708696 40.502206002889544, -74.22886006514858 40.50220248933435, -74.2289010679784 40.50219823267884, -74.22895205756359 40.50218955336751, -74.2290032537433 40.5021816042242, -74.22905463305551 40.50217439099153, -74.22907591039733 40.5021731610588, -74.22909711797966 40.502171364168746, -74.2291182279393 40.50216900322499, -74.22913921811283 40.502166079277096, -74.22916006173955 40.50216259673433, -74.22918073095968 40.50215855950567, -74.22920120186964 40.50215397316746, -74.2292214494668 40.50214884279564, -74.22924144633903 40.502143174811316, -74.22927038497784 40.502137417590625, -74.22929952338396 40.502132252353334, -74.2293288334679 40.50212767965801, -74.22935829308656 40.5021237060825, -74.22938787284342 40.502120335036054, -74.22941755167608 40.502117568236045, -74.22942138198778 40.50211722132797, -74.2294384115576 40.50211505779299, -74.22945528716924 40.50211228692812, -74.2294974050212 40.502107387693556, -74.2295393637853 40.50210179501556, -74.229581143268 40.502095508599645, -74.22961022163645 40.50209313212575, -74.22963939213257 40.50209150867983, -74.22966861789416 40.502090640513515, -74.22968445817496 40.50208957229496, -74.22970021195383 40.50208792023406, -74.22971584237068 40.502085687587666, -74.22973131344962 40.50208287945382, -74.22974658812034 40.50207950177042, -74.22979546595194 40.502062381572756, -74.2298440671971 40.502044805721056, -74.22989238527852 40.502026776406744, -74.22991536204447 40.50201837291864, -74.22993870875449 40.50201058570157, -74.22996239099066 40.50200342588139, -74.22998637564562 40.50199690273844, -74.23016029131382 40.50192391709752, -74.23017873406387 40.501919548757115, -74.23019694119266 40.50191463305976, -74.23021488484414 40.50190917491986, -74.23023253608228 40.50190318427992, -74.23024986904419 40.50189667124384, -74.2302668572034 40.501889644409076, -74.23028347096961 40.50188211489219, -74.23029968690514 40.50187409597537, -74.23030686452938 40.501870624231415, -74.23031441673132 40.50186764628698, -74.23032228170669 40.50186518706063, -74.23033039937643 40.50186326258836, -74.23033265625153 40.50186016292167, -74.23033663156781 40.50185470599395, -74.23033607342083 40.50185131829557, -74.2303328539762 40.501831805711305, -74.23032743945028 40.50181173211542, -74.23032989415539 40.50180827638321, -74.2303335822622 40.50180481717008, -74.23033892500185 40.501804178371984, -74.23034304643087 40.50180730795635, -74.23034718449806 40.50181545841372, -74.23035422834207 40.50183144768087, -74.23036283929345 40.501849376157075, -74.23036582286565 40.50185558825127, -74.23038056288566 40.50187815357703, -74.23038426772152 40.501882861804, -74.23038948441658 40.50189080034539, -74.2303939032026 40.501899016579735, -74.23040176854843 40.50190545442036, -74.23041024635411 40.50191142328392, -74.23041929063605 40.50191688992393, -74.23042885080233 40.50192182127071, -74.23043886991834 40.5019261906335, -74.23044929215258 40.50192997299458, -74.2304600572945 40.50193314636071, -74.23047527187614 40.50193693383764, -74.2304907181546 40.501940129629965, -74.23050635571742 40.50194272510719, -74.23052214460145 40.50194471465344, -74.23053804483892 40.50194609131264, -74.23055401780135 40.50194685465978, -74.23057002023414 40.501946999253185, -74.23058600979114 40.501946528528585, -74.23061606414728 40.50194431066827, -74.23064604933006 40.50194157258758, -74.23067594493172 40.50193831533278, -74.23070573318627 40.50193454229025, -74.2307353934625 40.50193025333403, -74.2307649077854 40.50192545486656, -74.23079425749842 40.501920146590415, -74.2308234208933 40.50191433424544, -74.23084851211853 40.501908863806925, -74.23085238041725 40.50190801937484, -74.23088112029114 40.50190120871177, -74.23095331081448 40.501886954478664, -74.23114494958753 40.50185121638459, -74.23118057193076 40.50183722714862, -74.23120353968645 40.50182285562782, -74.23122327112016 40.50181685411036, -74.23122469229239 40.50181644230338, -74.2312335769277 40.5018175508798, -74.23124443244185 40.501826860318964, -74.23154879981192 40.50172453747312, -74.23184935717252 40.50161585080884, -74.23214587622266 40.50150088289043, -74.23243813173245 40.501379721053375, -74.23272590171436 40.50125245733788, -74.23300896759196 40.501119188418826, -74.23304744169116 40.501101772830474, -74.23314424618242 40.50107931951738, -74.23321049636218 40.50109564717325, -74.23359904119738 40.500912531601266, -74.23441378278544 40.500774094232895, -74.23494577701936 40.50065915779629, -74.23501360835932 40.500653615062575, -74.23508091792979 40.500645140960685, -74.23517395942933 40.50062838351038, -74.23526495948055 40.50060602854828, -74.23535334116596 40.50057821779977, -74.23543854416984 40.5005451275785, -74.23552002833081 40.50050696766846, -74.23559727706656 40.50046397999385, -74.23566269105221 40.50043083182772, -74.23573157540801 40.500402070554976, -74.23580342652345 40.5003779064463, -74.23587771910024 40.500358516162784, -74.23595390999242 40.50034404146444, -74.23610536557807 40.50026621665425, -74.23625245135803 40.50018365226727, -74.2363513066114 40.50012558110026, -74.23642784022636 40.50007741203193, -74.23647256988734 40.50011303934432, -74.23652981832115 40.50009943225108, -74.23661963669825 40.500072282322016, -74.23670606288523 40.50003933534294, -74.23678845624052 40.50000083553824, -74.23686620601949 40.49995706829294, -74.23693873590189 40.499908358037196, -74.23700550826405 40.499855065840975, -74.23706602816404 40.499797586737564, -74.23718407598938 40.499702242636786, -74.23729667532258 40.49960313264965, -74.23735368322946 40.499548390411846, -74.24005982502955 40.501626038121294))",5.0
1,882a106e63fffff,"POLYGON ((-74.23812821403146 40.50607661731171, -74.24005982502955 40.501626038121294, -74.24640096766862 40.5005608102698, -74.25081151030668 40.50394593722659, -74.24888080597698 40.508396841926015, -74.24253865223147 40.509462294190094, -74.23812821403146 40.50607661731171))",17.0
2,882a106e67fffff,"POLYGON ((-74.24888080597698 40.508396841926015, -74.25081151030668 40.50394593722659, -74.25487784025574 40.50326246428102, -74.25523408934971 40.503934569735094, -74.25527947208303 40.50405553195718, -74.25531573084474 40.50417827511977, -74.25534274723192 40.50430239857622, -74.25536043300811 40.50442749717232, -74.25536873039194 40.50455316256857, -74.25535850504899 40.50517012777075, -74.25533004608201 40.50596510120405, -74.25530710377622 40.50653645411903, -74.25532532870783 40.5067001870569, -74.25535252614391 40.50686319328266, -74.25549176638768 40.50735682218439, -74.25552750637893 40.507448663101954, -74.2555570546528 40.50751244440411, -74.25557768158674 40.50757823836221, -74.2555891599136 40.507645320144405, -74.25559136315213 40.5077129507291, -74.25557180223838 40.5077631050358, -74.25553185854763 40.5078612288519, -74.25552913160823 40.507867141234165, -74.25545272937909 40.508032776305576, -74.25524817753173 40.50824323071304, -74.2550429371597 40.50839740737787, -74.25489888207028 40.508433685802416, -74.25462856709909 40.50867482572705, -74.25470272483845 40.508716063138785, -74.25473104757664 40.50872401077877, -74.25490187176636 40.508764383441836, -74.25490412260389 40.5087563679415, -74.2549813000949 40.50877117277578, -74.25497290370772 40.508805661630674, -74.25489636507344 40.50878658433313, -74.25489961775438 40.50877680552052, -74.25471523818555 40.50873609068606, -74.25468414988076 40.50872411754281, -74.25461850728021 40.50868390879988, -74.25448711664836 40.50880437483034, -74.25434543215407 40.50879165215135, -74.25412000836329 40.50899116760562, -74.25410010623897 40.50898319037796, -74.25404998110014 40.508953113146404, -74.25403791911573 40.50894894472053, -74.25402821487994 40.50894876614946, -74.25401162726345 40.50895599752553, -74.25399753079344 40.50897031481076, -74.25398592549972 40.508991717972854, -74.25397681140788 40.50902020696289, -74.25411121318568 40.50916704718079, -74.25403804567854 40.50925267164571, -74.25430713012459 40.50937626384601, -74.25434874440127 40.509329017144715, -74.25438877737021 40.50934418413463, -74.25431454169312 40.509413694649, -74.25428177080056 40.509397124218076, -74.25429083557015 40.50939155684298, -74.2540206950553 40.50927297629006, -74.25389169939272 40.50942393252, -74.25373355115248 40.50937689274586, -74.25368911881061 40.509425596439165, -74.25370535508554 40.509434413730006, -74.2536760469523 40.50946739017074, -74.25369339837496 40.509476988373876, -74.2541332493149 40.509682927557876, -74.25433256547623 40.50977376100491, -74.25434937126045 40.50978095473892, -74.25456815512881 40.50988011029753, -74.25462336202811 40.50981460210894, -74.25464651262911 40.50982624592441, -74.25452621732428 40.50997301538357, -74.25450038789256 40.5099631967047, -74.25455333637301 40.50989597318153, -74.25412462467563 40.50969365976773, -74.2536681037926 40.509479914763205, -74.25366393827433 40.50947795816001, -74.25364812518256 40.50947053043631, -74.25360711255466 40.50948090044591, -74.25350297868142 40.50960201174764, -74.25347835886957 40.509672702102236, -74.25331579805132 40.50986150454098, -74.25324411553912 40.51005181858629, -74.25319261503299 40.51024176573134, -74.25314984243136 40.51038849654176, -74.25312730843169 40.51071258104543, -74.25306394553087 40.511055257369776, -74.2532600826831 40.51107864379326, -74.2532580688567 40.511088689380834, -74.25306274811025 40.5110676534578, -74.25303779934352 40.51113607723539, -74.25300847277555 40.51119398970541, -74.25302037923973 40.51128514610711, -74.25308195034367 40.51139283939302, -74.25318020396989 40.51145816973164, -74.25343350448422 40.51163668834602, -74.25348602963635 40.51159519786609, -74.25349300571601 40.511598992282785, -74.25345907659349 40.51163043791604, -74.25348740701016 40.51164944524409, -74.25352396950373 40.51161898908772, -74.25353195022869 40.51162272147425, -74.25349517785078 40.51165588724194, -74.2535268507671 40.51167776603188, -74.25350211252197 40.511700917851876, -74.25317151924685 40.51146606218069, -74.25309286964242 40.511410765935395, -74.2530619950523 40.511419378101934, -74.25303635381555 40.511433160458786, -74.25303207962358 40.51146822794048, -74.25302266720595 40.511575331957296, -74.24888080597698 40.508396841926015))",0.0
3,882a106e47fffff,"POLYGON ((-74.219101335015 40.50927010853307, -74.22103484972476 40.50481969896743, -74.22737676591797 40.503755482519104, -74.23178617883345 40.50714145162203, -74.22985357047185 40.511592187045366, -74.22351064273714 40.512656627538476, -74.219101335015 40.50927010853307))",0.0
4,882a106e6bfffff,"POLYGON ((-74.22985357047185 40.511592187045366, -74.23178617883345 40.50714145162203, -74.23812821403146 40.50607661731171, -74.24253865223147 40.509462294190094, -74.24060695055807 40.51391335529549, -74.234263903887 40.51497841387086, -74.22985357047185 40.511592187045366))",38.0
5,882a106e61fffff,"POLYGON ((-74.2450183095489 40.51729928967359, -74.24060695055807 40.51391335529549, -74.24253865223147 40.509462294190094, -74.24888080597698 40.508396841926015, -74.25302266720595 40.511575331957296, -74.25300008721321 40.51183226997474, -74.25299713901043 40.51185914541701, -74.25299940821161 40.511886059225084, -74.25300684534726 40.51191242459357, -74.25301928827027 40.51193766667403, -74.25303646569076 40.5119612351087, -74.25305800309056 40.511982616030046, -74.25307641613713 40.5119977773678, -74.2530903675943 40.51201668511716, -74.25309984528211 40.512037143880974, -74.25310456611355 40.51205854258977, -74.25310438908049 40.51208024209902, -74.25309931946589 40.512101594279116, -74.25308950868661 40.512121961373936, -74.25307524977133 40.51214073504986, -74.25243270667276 40.51259432885176, -74.25216570187101 40.512782813117276, -74.25195197488475 40.512997002547266, -74.2519293126906 40.51320944499288, -74.25199467998806 40.51334743001473, -74.25208955294622 40.51346052979937, -74.25214378894998 40.51355347081547, -74.2521259139706 40.513710379799996, -74.25179186478277 40.514004805448465, -74.25178592002555 40.51401004629635, -74.2517558319888 40.51403693838154, -74.25172346740705 40.514062243893505, -74.25168048930755 40.51409118992841, -74.25163453761714 40.51411734027948, -74.25158592366496 40.51414051777256, -74.25153546923387 40.51417472457112, -74.25148978162275 40.51421263307028, -74.25144932476128 40.51425385833946, -74.25141450946734 40.51429798176818, -74.25138568927522 40.51434455531661, -74.25138383881419 40.51435565602133, -74.25137951251102 40.514366347978196, -74.25137283949583 40.51437631205429, -74.25136401894343 40.51438525084228, -74.25135331412865 40.51439289753754, -74.25134104456798 40.51439902390166, -74.25132757648275 40.51440344707497, -74.25131331186812 40.51440603503463, -74.25129867649426 40.51440671053524, -74.25128410719782 40.51440545341441, -74.25127003884319 40.51440230119473, -74.25118528351024 40.51442604656909, -74.25110334077684 40.51445497656308, -74.25102475406835 40.51448889932101, -74.25095004455623 40.51452758987621, -74.25087970770181 40.51457079164289, -74.25075668084278 40.51462320285308, -74.25068266586649 40.514649708646076, -74.25061193066348 40.514680999042085, -74.2505450049674 40.51471683971049, -74.25048238998517 40.514756962243816, -74.2504245546436 40.5148010661675, -74.25037193207766 40.514848821190085, -74.25036757487274 40.514862103271504, -74.25036065009594 40.51487473422729, -74.25035131524315 40.514886426778695, -74.25033978262543 40.51489691498985, -74.25032631454025 40.514905960316376, -74.2503112173058 40.514913357030835, -74.25029483429418 40.514918936901836, -74.25025503014196 40.51494653025984, -74.25022073101432 40.514978137339334, -74.25019262447167 40.515013124552375, -74.25011171056995 40.51504481985514, -74.25006153391142 40.51513886651382, -74.25007568832466 40.51521909225183, -74.25017880583991 40.51532943968662, -74.25017086663708 40.515333996914705, -74.25028083612388 40.5154411671746, -74.25027416157492 40.51544555981712, -74.25028567520496 40.515457207267524, -74.25029330638937 40.51545281320835, -74.25055526413557 40.51571634242889, -74.25045509923827 40.51577200710905, -74.25019601571452 40.51550993109385, -74.2502751830964 40.51546306675979, -74.250261753471 40.515450693888404, -74.25025220967815 40.515455092115594, -74.25015626516769 40.51536118819947, -74.24988824874998 40.51552154519298, -74.2504762730612 40.51611729929941, -74.25053507045664 40.51608604354205, -74.25056007272009 40.51610674103244, -74.25041535921387 40.5161883350259, -74.25039487478166 40.51616416863542, -74.25045139325617 40.5161294593824, -74.24984374594058 40.51551805020887, -74.249356609239 40.51500592819373, -74.24927734323964 40.51505009620046, -74.24935726272875 40.515128870925096, -74.24933775243693 40.515140814379365, -74.2492561503189 40.51506119508578, -74.24921528676101 40.5150848612993, -74.24952480927374 40.515409958251176, -74.24963220109241 40.51554537795106, -74.24962270300448 40.51557472993954, -74.24950047123731 40.515646488566915, -74.24953303060427 40.51568216421426, -74.2495139367868 40.51569398097648, -74.2499415880804 40.51613748819102, -74.24989861903738 40.5161600624044, -74.24948229759761 40.51571653157734, -74.24946420338262 40.515725217684235, -74.24943096899091 40.51568788559751, -74.2490558650878 40.51590409611529, -74.24903055962491 40.51588123613055, -74.24864764632107 40.51611262849681, -74.24871583641304 40.51616954901994, -74.24870679818531 40.516176485625, -74.24884323664611 40.51630588956215, -74.24882966609398 40.51631283600293, -74.24868189274346 40.516181727856306, -74.24862466940388 40.516215751053, -74.24875958315145 40.51635622113427, -74.24873695634669 40.51636491694889, -74.24854589291675 40.51616991714846, -74.24855013363099 40.516195747277905, -74.24851245601296 40.51622571790126, -74.24857496383815 40.51628869599925, -74.24860080823052 40.516313331917885, -74.24828422083891 40.51648694955371, -74.24849739016479 40.516714790415875, -74.2484502142152 40.516722716161375, -74.24822171694584 40.51648601974749, -74.24751811835532 40.515735864778655, -74.24693048008477 40.51606645441778, -74.24687147835454 40.51603688177652, -74.24659499935201 40.516072443515654, -74.24644039651137 40.515965028005944, -74.24612560876697 40.516116596447034, -74.24612462197072 40.51612736879573, -74.24612857679287 40.51613739257375, -74.24613667051254 40.51614674003254, -74.24614748095286 40.51615375951755, -74.24615993200574 40.51615760529396, -74.24617464050674 40.516159230462385, -74.24618298246288 40.51615926634786, -74.24623549606487 40.516154056571224, -74.2462528628355 40.51615339844289, -74.24630085106857 40.516140611033975, -74.24652992417231 40.51637770064298, -74.24659873437135 40.51635820232686, -74.24674997194066 40.516495613240494, -74.24659339236202 40.516586826598086, -74.24651040267679 40.51666985530599, -74.24669769426794 40.51687938448535, -74.24669323577734 40.51688186280463, -74.2467070672106 40.51689543206923, -74.24671033904563 40.51689398125462, -74.24681308346676 40.51699776058054, -74.24677769372414 40.5170037061968, -74.24668258602553 40.516906956370875, -74.24669527620897 40.516901496066666, -74.24668162674 40.51688500701457, -74.24666521689271 40.51689161720226, -74.24647899705329 40.51668732721084, -74.24644391386606 40.51670254516734, -74.24642373950077 40.51671516201803, -74.24637736435628 40.51673909386154, -74.24656439920263 40.5169457921992, -74.24653682834264 40.5169599603795, -74.24634969801771 40.51675337193494, -74.24598176886518 40.516943241859074, -74.24595276992137 40.51693199365055, -74.24528032295758 40.51725527038809, -74.2450183095489 40.51729928967359))",53.0
6,882a106e41fffff,"POLYGON ((-74.2108240142567 40.514784496410655, -74.21275852667402 40.51033393103582, -74.219101335015 40.50927010853307, -74.22351064273714 40.512656627538476, -74.22157703668738 40.51710751894406, -74.21523321643838 40.51817156534387, -74.2108240142567 40.514784496410655))",47.0
7,882a106e45fffff,"POLYGON ((-74.22157703668738 40.51710751894406, -74.22351064273714 40.512656627538476, -74.22985357047185 40.511592187045366, -74.234263903887 40.51497841387086, -74.23233120454509 40.51942963113157, -74.22598726497064 40.52049429574207, -74.22157703668738 40.51710751894406))",24.0
8,882a1060b5fffff,"POLYGON ((-74.20448031379061 40.515847924691826, -74.20254480334124 40.52029864562505, -74.19620021077289 40.52136167940854, -74.19179214110599 40.51797376869965, -74.19372855760153 40.51352337414571, -74.20007213782743 40.51246056389106, -74.20007874258731 40.51246563916593, -74.20007976325151 40.512499290067645, -74.20007351879819 40.51255973012219, -74.20005925616977 40.51261937254088, -74.20003712313004 40.512677599327205, -74.1999296094449 40.5127129461866, -74.19990247925952 40.51272186470227, -74.19892572793869 40.512777305998405, -74.19895797461196 40.512844402816796, -74.1990730709549 40.51308388453698, -74.19918724694764 40.51309316165015, -74.19925448939918 40.51304160694401, -74.19928603075162 40.512995939741934, -74.19936127407875 40.51301019442935, -74.199438223551 40.513017401527506, -74.19951575024007 40.51301745530088, -74.19959271674884 40.5130103549605, -74.19966799389911 40.51299620467576, -74.19970753195913 40.51298169763004, -74.19974595151912 40.51296553452813, -74.19981408314027 40.51294717000757, -74.1998846562205 40.51293533812249, -74.1999565998814 40.51293021841016, -74.20002882244856 40.51293188855718, -74.20010022801566 40.51294032322072, -74.20018520018671 40.512970681213616, -74.20027304850913 40.51299582226389, -74.2003632241255 40.513015589294824, -74.20045516363612 40.51302985880551, -74.20054829261954 40.51303854164249, -74.20064202922178 40.513041583556834, -74.20073578779208 40.513038965543174, -74.2008156351317 40.513031887187815, -74.20448031379061 40.515847924691826))",20.0
9,882a106e69fffff,"POLYGON ((-74.23674245881276 40.52281611552678, -74.23233120454509 40.51942963113157, -74.234263903887 40.51497841387086, -74.24060695055807 40.51391335529549, -74.2450183095489 40.51729928967359, -74.24454590358356 40.518387882606945, -74.24451292617461 40.51841704453901, -74.24440812395478 40.51847737885717, -74.24431751097606 40.518513227043705, -74.24429835217606 40.51851500310777, -74.24419318643795 40.518507646784514, -74.24399957376164 40.518441159390065, -74.24382126609423 40.5183293846925, -74.243652285116 40.518294614623166, -74.24301946478658 40.51830792426685, -74.24282337422676 40.518308183295815, -74.24263711942864 40.518242768834426, -74.24232477833276 40.518326525021784, -74.24209123122776 40.51848531749823, -74.24186964584229 40.518742121889424, -74.24125968675216 40.51918046982297, -74.24109075921596 40.519345603828945, -74.24103122918724 40.51954251319052, -74.24086961980136 40.51949408016114, -74.24075928637673 40.51931965712867, -74.2405964580786 40.51920981244942, -74.24049069687702 40.519191628970056, -74.24039560067521 40.519279099891264, -74.24024433791301 40.51951749846857, -74.24018802896553 40.51966380798036, -74.24009650833139 40.51986823053181, -74.23991612395798 40.520010464169864, -74.23984977618812 40.52000168482078, -74.23983512310816 40.52004965876523, -74.23982258316957 40.520090711946374, -74.23991820715246 40.520113678460056, -74.23991918241305 40.52016197106063, -74.24003142061719 40.52031311901851, -74.24033380813596 40.52040852891316, -74.24055584307517 40.520447528900114, -74.2407328454876 40.52056915165383, -74.24084659637707 40.520653520167016, -74.24093977907867 40.5207536732821, -74.24092192194372 40.52080683682553, -74.24097377890219 40.52088739946698, -74.24117293552202 40.52106013143203, -74.24121924614653 40.521032488187075, -74.24123956765656 40.52094783784773, -74.24133219575523 40.52089451758024, -74.2413837903956 40.520902279025975, -74.24157217328336 40.5209471383504, -74.24189065727211 40.520977549491676, -74.24293235036328 40.52122716063022, -74.24290534282419 40.52141668653779, -74.24289894515093 40.52145854494218, -74.24281105506617 40.52165619806763, -74.24272878126472 40.521810902999455, -74.23674245881276 40.52281611552678))",99.0
