,highway,geometry,name,operator,barrier,wheelchair,ele,gnis:county_id,gnis:created,gnis:feature_id,gnis:state_id,leisure,wikidata,heritage,heritage:operator,heritage:website,historic,nrhp:criteria,nrhp:inscription_date,ref:nrhp,source_ref,addr:city,addr:postcode,addr:state,man_made,gnis:edited,fixme,operator:type,operator:wikidata,operator:wikipedia,name:es,addr:housenumber,addr:street,tourism,level,access,bicycle,sport,surface,lit,material,note,layer,natural,source,description,opening_hours,website,nodes,name:sr,name:sr-Latn,operator:short,wikipedia,old_name,addr:full,check_date:opening_hours,lpc:inscription_date,name:ja,name:ko,name:ru,name:tr,ref:lpc,name:en,name:zh,phone,start_date,WLAN,internet_access,name:fa,dog,smoking,pets,playground,alt_name,ref,name:el,name:he,name:lt,place,name:etymology:wikidata,name:etymology,name:etymology:wikipedia,old_name:2007-2020,maintenance,source:pkey,acres,check_date,official_name,comment,architect,loc_name,name:fr,area,fence_type,addr:country,lastcheck,building:material,height,outdoor_seating,roof:material,roof:shape,image,landuse,email,name:pt,name:uk,name:hi,name:kn,nrhp:nhl,nrhp:nhl:inscription_date,owner,short_name,architect:wikidata,architect:wikipedia,seamark:platform:category,seamark:type,construction,opening_date,proposed,noname,ways,type,description:ru,name:de,bridge,building:colour,building:part,min_height,old_railway_operator,protect_class,name:be,protected,protection_title,borough,fee,dog:conditional,garden:type,alt_wikidata,gnis:County_num,playground:theme,designation,recycling:compost,nyc:parkid,url,elevation,source:name,pets_allowed,contact:email,contact:website,nycdoitt:bin,survey:date,grass,opening_hours:covid19,name_1,name_2,alt_name_1,internet_access:fee,internet_access:ssid,leisure_2,bench,footway,fence,private,building,covered,alcohol,full_name,was:name,leaf_cycle,leaf_type
0,,POINT (4647938.166999372 5864171.810761002),Baker Field,,,,17,061,01/23/1980,942830,36,park,Q34804359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manhattan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,POINT (4654178.319307111 5840631.067440231),South Street Seaport Historic District,,,,1,061,01/01/2000,2058381,36,park,Q8561180,2,nrhp,https://www.nps.gov/subjects/nationalregister/index.htm,maritime,"A, C",12-12-1978,78001884,Source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manhattan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,POINT (4652672.122961096 5840441.031586405),Pumphouse Park,,,,0,061,01/01/2000,2060108,36,park,Q49546842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manhattan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,POINT (4654008.101761442 5841687.642906745),Chatham Square,,,,9,061,01/01/2000,2063261,36,park,Q34816834,,,,,,,,,New York,10038,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manhattan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,POINT (4649981.67182797 5849497.590217321),Seventieth Street Playground,,,,21,061,06/12/2006,2078977,36,park,Q49559944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manhattan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,POINT (4647730.987879829 5864028.3397142645),Lawrence A Wein Stadium,,,,11,061,06/12/2006,2079037,36,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manhattan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,POINT (4652744.223641176 5844990.337487199),Theodore Roosevelt Birthplace National Historic Site,,,,12,061,01/17/2006,2083047,36,park,Q904191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manhattan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,POINT (4648696.542751795 5860486.076852979),McNally Plaza,,,,46,061,11/22/2006,2099820,36,park,Q34848347,,,,,,,,,,,,,10/02/2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manhattan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,POINT (4654468.693097189 5844404.638718614),Toyota Children's Learning Garden,,,,4,061,06/17/2008,2436570,36,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manhattan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,POINT (4655416.7600646345 5843058.256835748),Sidney Hillman Playground,,,,4,061,10/01/2008,2500463,36,park,Q34861357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manhattan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,POINT (4654920.046602599 5842212.324325108),Little Flower Playground,,,,5,061,10/01/2008,2500469,36,park,Q34844676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manhattan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,POINT (4654443.721288909 5844565.831177973),Yu Suen Garden,,,,3,061,10/01/2008,2500579,36,park,Q49583807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manhattan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,POINT (4651564.105052318 5843743.601142675),Bleecker Playground,,,,6,061,10/02/2008,2500742,36,park,Q34808932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manhattan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,POINT (4651978.830031753 5843838.295606199),McCarthy Square,,,,7,061,10/02/2008,2500743,36,park,Q49523257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manhattan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,POINT (4652407.6602345165 5843183.591704168),Little Red Square,,,,6,061,10/02/2008,2500751,36,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manhattan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
