hex_id,street_density_km
882a106e0dfffff,2156994989.2872076
882a106e63fffff,2356212681.930245
882a106e67fffff,2325496140.8894377
882a106e47fffff,1058722775.0201801
882a106e6bfffff,2343847912.9917583
882a106e61fffff,2238843667.970538
882a106e41fffff,227802573.25602376
882a106e45fffff,644745850.3717262
882a1060b5fffff,2327406533.1600647
882a106e69fffff,1541666721.158565
882a106e49fffff,1984762568.400889
882a1060b9fffff,1428428700.2957842
882a106e4dfffff,1425324646.0272355
882a1060bdfffff,1106914059.708945
882a106193fffff,1921144771.1950636
882a1060a3fffff,1727197428.859645
882a106083fffff,2207842608.4560266
882a106197fffff,1103351806.2516217
882a1060a7fffff,2439770409.7631288
882a106087fffff,1268521503.3095021
882a10619bfffff,2384283790.415569
882a1060abfffff,2348686671.9759197
882a10608bfffff,3168499308.556276
882a106191fffff,412829976.6467677
882a1060a1fffff,3077592064.6162395
882a106081fffff,1256602420.102644
882a1060a5fffff,1447639554.6770723
882a106085fffff,2517730262.178891
882a106199fffff,1465506935.402359
882a1060a9fffff,3367744870.665265
882a106089fffff,3088033136.4516068
882a10619dfffff,1079838346.0944192
882a1060adfffff,3147084788.1449075
882a10608dfffff,3003878087.6833243
882a106183fffff,380006502.70417196
882a1061d3fffff,2738920064.825653
882a1060e3fffff,2674940873.1859727
882a1061d7fffff,716361804.5322058
882a1060e7fffff,2906491829.508827
882a1060c7fffff,2948071531.479658
882a1060d5fffff,2890872855.2269683
882a1060ddfffff,2586661710.069091
882a1060c3fffff,2263979775.9500093
882a1062b3fffff,0.0
882a1062b7fffff,1774149327.1582558
882a1060cbfffff,2888652471.3045754
882a1062b1fffff,1119142158.9687135
882a1062b5fffff,2522537685.0329213
882a106295fffff,1199101983.5011194
882a1060c9fffff,2955171303.632645
882a10618bfffff,108505419.14355858
882a1061dbfffff,1669812638.674579
882a1060ebfffff,2992900898.116486
882a1061d1fffff,2299437515.772906
882a1060e1fffff,2405525731.0763745
882a1060c1fffff,2982156145.3581595
882a1061d5fffff,284974945.27021897
882a1060e5fffff,1522259697.9222832
882a1060c5fffff,3140148084.4183545
882a1061d9fffff,1638063954.1590502
882a1060e9fffff,2275552858.3586693
882a1060edfffff,495052256.5457623
882a1060cdfffff,2266174527.732342
882a106033fffff,656337724.7470201
882a106013fffff,2013289897.875336
882a106017fffff,1465833377.4951031
882a10603bfffff,529456403.76209885
882a10601bfffff,66660053.47420978
882a106031fffff,0.0
882a106011fffff,152089369.84405264
882a1062b9fffff,3051391554.25793
882a1062bdfffff,2655296893.8710356
882a10629dfffff,2032938754.4843469
882a1062a3fffff,1327701683.1595929
882a106283fffff,2180676003.3422403
882a1062a7fffff,1431669340.124923
882a106287fffff,2974646127.957038
882a1062d7fffff,793030430.7356206
882a1062abfffff,3294491977.966598
882a10628bfffff,1171045667.4818814
882a1062a1fffff,1714077634.7781496
882a106281fffff,2277130096.263547
882a1062d1fffff,1807893629.3712876
882a1062a5fffff,85021183.4884179
882a106285fffff,3279098157.77403
882a1062d5fffff,2782697186.5571866
882a1062a9fffff,2052013566.5347495
882a106289fffff,2353355725.2615023
882a1062d9fffff,1287601090.801731
882a1062adfffff,431006383.2954302
882a106015fffff,184295729.0555427
882a106039fffff,16085125.682250403
882a106019fffff,1291352291.9442139
882a10601dfffff,0.0
882a106003fffff,198710222.03027573
882a106007fffff,184692253.93423593
882a106057fffff,223081370.58729276
882a106001fffff,1456286217.3009377
882a106051fffff,2683464838.7237754
882a106005fffff,135770904.96191525
882a10628dfffff,1581998471.1914716
882a1062ddfffff,2156100774.9305954
882a106053fffff,2243584785.9535804
882a1062e3fffff,1177799038.9154105
882a1062c3fffff,3027530432.305454
882a1062e7fffff,186978394.37522167
882a1062c7fffff,1977307183.61574
882a107537fffff,342574894.30146617
882a10605bfffff,2677647795.523833
882a1062ebfffff,5502314.121174418
882a10743bfffff,1267492366.325852
882a107431fffff,1688596068.4876795
882a107435fffff,488802419.441266
882a107439fffff,1742768274.9588423
882a10743dfffff,521599801.06330454
882a107407fffff,2371561073.939757
882a107531fffff,2543565236.1925735
882a107401fffff,2359024472.6262884
882a107405fffff,2594854436.0817857
882a107539fffff,2090828023.123921
882a1062cbfffff,2923431837.986547
882a1062e1fffff,191027236.46643007
882a1062c1fffff,2537812544.733711
882a1062e5fffff,1124226755.4266026
882a1062c5fffff,1232636140.8593454
882a107535fffff,2697649141.59219
882a106059fffff,1813729814.194464
882a1062e9fffff,506943631.4587506
882a1062c9fffff,3129981748.4168944
882a1062edfffff,2244827068.7774463
882a106055fffff,254721349.35978276
882a106009fffff,1106445721.0396833
882a10600dfffff,894901127.8791715
882a10605dfffff,1982209225.4047525
882a106043fffff,599455039.7796152
882a106047fffff,1018910511.4716967
882a10606bfffff,311625314.9159107
882a10604bfffff,2462386120.908447
882a106041fffff,445544900.2620377
882a106045fffff,770600540.1111965
882a1062cdfffff,2021968423.430858
882a106233fffff,1434714006.6547456
882a106213fffff,2180547811.064483
882a107523fffff,2499824771.688563
882a106237fffff,432097258.6252451
882a106217fffff,3560161774.9726477
882a107527fffff,2996392835.688494
882a10623bfffff,3121743481.3257375
882a10621bfffff,1457163797.4998543
882a106231fffff,2904089691.726064
882a107429fffff,2548265958.9853
882a10753dfffff,2964637293.1492453
882a10740dfffff,2271293624.7026987
882a107503fffff,2155403565.5421214
882a107463fffff,2236765763.2137384
882a107507fffff,2846219946.0526824
882a107467fffff,2550301848.389706
882a10752bfffff,2583635049.5477176
882a10755bfffff,1188375503.9770963
882a10746bfffff,2258455528.49379
882a106211fffff,2604091736.3411098
882a107521fffff,2719068940.5121603
882a106235fffff,2394974728.8383904
882a106215fffff,2687978060.6449428
882a107525fffff,2940901571.475361
882a106239fffff,3251682066.9699626
882a106219fffff,1787508270.566828
882a107529fffff,2224818343.8688836
882a10623dfffff,2917796957.740538
882a10621dfffff,2561649022.6529465
882a107551fffff,1944350626.335488
882a107461fffff,2295797715.195499
882a107505fffff,2868558778.188475
882a107555fffff,2343373949.33876
882a107465fffff,2166251254.036138
882a107559fffff,1762866706.5747883
882a107469fffff,2226458390.2665453
882a10755dfffff,2556074416.2210464
882a10746dfffff,2493985712.955619
882a107563fffff,2200379162.8768325
882a106069fffff,0.0
